Мақоми давлатӣ,Категория,№,Рамзи хизматрасонӣ,Номгӯйи хизматрасонӣ,Гирандаи хизматрасонӣ,Хизматрасонанда,Ташкилоти қабул ва додани натиҷа,Шакли хизматрасонӣ,Музднок ё ройгон
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Қарор,18,000018,Қарор дар бораи тасдиқи санад оид ба қабули иншоот барои истифодабарӣ,Шахсони воқеӣ ва ҳуқуқӣ,Мақомоти маҳаллии ҳокимияти давлатӣ,Мақомоти маҳаллии ҳокимияти давлатӣ,"Коғазӣ, электронӣ",Ройгон
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Қарор,19,000019,Қарор дар бораи ҷудо намудани қитъаи замин,Шахсони воқеӣ ва ҳуқуқӣ,Мақомоти маҳаллии ҳокимияти давлатӣ,Мақомоти маҳаллии ҳокимияти давлатӣ,"Коғазӣ, электронӣ",Ройгон
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Қарор,20,000020,Қарор дар бораи вобаста намудани қитъаи замин,Шахсони воқеӣ ва ҳуқуқӣ,Мақомоти маҳаллии ҳокимияти давлатӣ,Мақомоти маҳаллии ҳокимияти давлатӣ,"Коғазӣ, электронӣ",Ройгон
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Қарор,21,000021,Қарор дар бораи додани иҷораи моликияти коммуналӣ,Шахсони воқеӣ ва ҳуқуқӣ,Мақомоти маҳаллии ҳокимияти давлатӣ,Мақомоти маҳаллии ҳокимияти давлатӣ,"Коғазӣ, электронӣ",Ройгон
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Қарор,22,000022,Қарор дар бораи хусусигардонии моликияти коммуналӣ,Шахсони воқеӣ ва ҳуқуқӣ,Мақомоти маҳаллии ҳокимияти давлатӣ,Мақомоти маҳаллии ҳокимияти давлатӣ,"Коғазӣ, электронӣ",Ройгон
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Қарор,23,000023,Қарор дар бораи иваз намудани таъиноти иншоот,Шахсони воқеӣ ва ҳуқуқӣ,Мақомоти маҳаллии ҳокимияти давлатӣ,Мақомоти маҳаллии ҳокимияти давлатӣ,"Коғазӣ, электронӣ",Ройгон
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Қарор,24,000024,Қарор оид ба танзими масъалаҳои иҷтимоию иқтисодӣ,Шахсони воқеӣ ва ҳуқуқӣ,Мақомоти маҳаллии ҳокимияти давлатӣ,Мақомоти маҳаллии ҳокимияти давлатӣ,"Коғазӣ, электронӣ",Ройгон
АГЕНТИИ НАЗОРАТИ МАВОДИ НАШЪАОВАРИ НАЗДИ ПРЕЗИДЕНТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,25,000025,"Иҷозатнома оид ба фаъолияти марбут ба муомилоти қонунии прекурсорҳои воситаҳои нашъадор ва моддаҳои психотропӣ (таҳия, истеҳсол, тайёр кардан, коркард, нигоҳ доштан, интиқол, муросилот, додан, харид, фурўш, тақсимот, соҳиб шудан, истифода, воридот ва содирот)",Шахсони воқеӣ ва ҳуқуқӣ,Агентии назорати маводи нашъаовари назди Президенти Ҷумҳурии Тоҷикистон,Агентии назорати маводи нашъаовари назди Президенти Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ НАЗОРАТИ МАВОДИ НАШЪАОВАРИ НАЗДИ ПРЕЗИДЕНТИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,26,000026,Шаҳодатномаи воридоти прекурсорҳои воситаҳои нашъадор ва моддаҳои психотропӣ,Шахсони воқеӣ ва ҳуқуқӣ,Агентии назорати маводи нашъаовари назди Президенти Ҷумҳурии Тоҷикистон,Агентии назорати маводи нашъаовари назди Президенти Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ НАЗОРАТИ МАВОДИ НАШЪАОВАРИ НАЗДИ ПРЕЗИДЕНТИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,27,000027,Шаҳодатномаи содироти прекурсорҳои воситаҳои нашъадор ва моддаҳои психотропӣ,Шахсони воқеӣ ва ҳуқуқӣ,Агентии назорати маводи нашъаовари назди Президенти Ҷумҳурии Тоҷикистон,Агентии назорати маводи нашъаовари назди Президенти Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ ИННОВАТСИЯ ВА ТЕХНОЛОГИЯҲОИ РАҚАМИИ НАЗДИ ПРЕЗИДЕНТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,28,000028,"Иҷозатнома барои фаъолият оид ба додани сертификатҳои калидҳои имзоҳои электронии ҳифзшуда, хизматрасониҳо вобаста ба истифодаи имзоҳои электронии ҳифзшуда ва тасдиқи аслияти имзоҳои электронии ҳифзшуда ба марказҳои тасдиқкунанда",Шахсони воқеӣ ва ҳуқуқӣ,Агентии инноватсия ва технологияҳои рақамии назди Президенти Ҷумҳурии Тоҷикистон,Агентии инноватсия ва технологияҳои рақамии назди Президенти Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ ИННОВАТСИЯ ВА ТЕХНОЛОГИЯҲОИ РАҚАМИИ НАЗДИ ПРЕЗИДЕНТИ ҶУМҲУРИИ ТОҶИКИСТОН,Сертификат,29,000029,Сертификати воситаҳои имзои электронии ҳифзшуда ба марказҳои тасдиқкунанда,Шахсони воқеӣ ва ҳуқуқӣ,Агентии инноватсия ва технологияҳои рақамии назди Президенти Ҷумҳурии Тоҷикистон,Агентии инноватсия ва технологияҳои рақамии назди Президенти Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ ОМОРИ НАЗДИ ПРЕЗИДЕНТИ ҶУМҲУРИИ ТОҶИКИСТОН,,30,000030,Маълумотнома дар бораи рамзҳои оморӣ,Шахсони воқеӣ ва ҳуқуқӣ,"Раёсат, шуъба ва бахшҳои Агентии омори назди Президенти Ҷумҳурии Тоҷикистон дар шаҳру ноҳияҳо","Раёсат, шуъба ва бахшҳои Агентии омори назди Президенти Ҷумҳурии Тоҷикистон дар шаҳру ноҳияҳо","Коғазӣ, электронӣ",Музднок
АГЕНТИИ НАЗОРАТИ ДАВЛАТИИ ЭНЕРГЕТИКИИ НАЗДИ ПРЕЗИДЕНТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозат,37,000037,Иҷозат барои пайвастшавии дастгоҳу объекти энергетика ва субъекти хоҷагидор ба шабакаи энергетикӣ,Шахсони воқеӣ ва ҳуқуқӣ,"Агентии назорати давлатии энергетикии назди Президенти Ҷумҳурии Тоҷикистон, раёсату шуъбаҳои шаҳрию минтақавии Агентии назорати давлатии энергетикии назди Президенти Ҷумҳурии Тоҷикистон","Агентии назорати давлатии энергетикии назди Президенти Ҷумҳурии Тоҷикистон, раёсату шуъбаҳои шаҳрию минтақавии Агентии назорати давлатии энергетикии назди Президенти Ҷумҳурии Тоҷикистон","Коғазӣ, электронӣ",Музднок
АГЕНТИИ НАЗОРАТИ ДАВЛАТИИ ЭНЕРГЕТИКИИ НАЗДИ ПРЕЗИДЕНТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозат,38,000038,Иҷозат барои пайвастшавии истифодабарандагон ба шабакаи энергетикӣ,Шахсони воқеӣ ва ҳуқуқӣ,"Агентии назорати давлатии энергетикии назди Президенти Ҷумҳурии Тоҷикистон, раёсату шуъбаҳои шаҳрию минтақавии Агентии назорати давлатии энергетикии назди Президенти Ҷумҳурии Тоҷикистон","Агентии назорати давлатии энергетикии назди Президенти Ҷумҳурии Тоҷикистон, раёсату шуъбаҳои шаҳрию минтақавии Агентии назорати давлатии энергетикии назди Президенти Ҷумҳурии Тоҷикистон","Коғазӣ, электронӣ",Музднок
АГЕНТИИ НАЗОРАТИ ДАВЛАТИИ ЭНЕРГЕТИКИИ НАЗДИ ПРЕЗИДЕНТИ ҶУМҲУРИИ ТОҶИКИСТОН,Мувофиқакунӣ,39,000039,Мувофиқакунии меъёрҳои сарфи технологии захираҳои сўзишворию энергетикӣ ба воҳиди маҳсулоти истеҳсолшаванда,Шахсони воқеӣ ва ҳуқуқӣ,"Агентии назорати давлатии энергетикии назди Президенти Ҷумҳурии Тоҷикистон, раёсату шуъбаҳои шаҳрию минтақавии Агентии назорати давлатии энергетикии назди Президенти Ҷумҳурии Тоҷикистон","Агентии назорати давлатии энергетикии назди Президенти Ҷумҳурии Тоҷикистон, раёсату шуъбаҳои шаҳрию минтақавии Агентии назорати давлатии энергетикии назди Президенти Ҷумҳурии Тоҷикистон","Коғазӣ, электронӣ",Музднок
АГЕНТИИ НАЗОРАТИ ДАВЛАТИИ ЭНЕРГЕТИКИИ НАЗДИ ПРЕЗИДЕНТИ ҶУМҲУРИИ ТОҶИКИСТОН,Хулоса,40,000040,Хулоса аз натиҷаи корҳои озмоишии электротехникии заминпайвандҳо ва оиқи ноқилу кабелҳо ва ташхиси воситаҳои ҳимоявӣ,Шахсони воқеӣ ва ҳуқуқӣ,Озмоишгоҳи электротехникии Агентии назорати давлатии энергетикии назди Президенти Ҷумҳурии Тоҷикистон,Озмоишгоҳи электротехникии Агентии назорати давлатии энергетикии назди Президенти Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ АДЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Апостил,41,000041,Апостил ба ҳуҷҷатҳои расмии мақомоти сабти асноди ҳолати шаҳрвандӣ,Шахсони воқеӣ ва шахсони ҳуқуқӣ,Вазорати адлияи Ҷумҳурии Тоҷикистон,"Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, вилоятҳои Хатлон ва Суғд","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ АДЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Апостил,42,000042,Апостил ба ҳуҷҷатҳои расмии нотариусҳои давлатӣ,Шахсони воқеӣ ва шахсони ҳуқуқӣ,Вазорати адлияи Ҷумҳурии Тоҷикистон,"Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, вилоятҳои Хатлон ва Суғд","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ АДЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Апостил,43,000043,Апостил ба ҳуҷҷатҳои расмии мақомоти судӣ ва мақомоти истеҳсолоти иҷро,Шахсони воқеӣ ва шахсони ҳуқуқӣ,Вазорати адлияи Ҷумҳурии Тоҷикистон,"Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, вилоятҳои Хатлон ва Суғд","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ АДЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Апостил,44,000044,Апостил ба ҳуҷҷатҳои расмии мақомоти прокуратура,Шахсони воқеӣ ва шахсони ҳуқуқӣ,Вазорати адлияи Ҷумҳурии Тоҷикистон,"Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, Хатлон ва Суғд","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ АДЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Бақайдгирӣ (азнавбақайдгирӣ),52,000052,Бақайдгирии давлатии иттиҳодияҳои ҷамъиятӣ (Шаҳодатнома дар бораи бақайдгирии давлати иттиҳодияҳои ҷамъиятӣ),Шахсони воқеӣ ва ҳуқуқӣ,"Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, вилоятҳои Хатлон ва Суғд","Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, вилоятҳои Хатлон ва Суғд","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ АДЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Бақайдгирӣ (азнавбақайдгирӣ),53,000053,Азнавбақайдгирии давлатии иттиҳодияҳои ҷамъиятӣ (Шаҳодатнома дар бораи азнавбақайдгирии давлатии иттиҳодияи ҷамъиятӣ),Шахсони воқеӣ ва ҳуқуқӣ,"Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, вилоятҳои Хатлон ва Суғд","Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, вилоятҳои Хатлон ва Суғд","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ АДЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Бақайдгирӣ (азнавбақайдгирӣ),54,000054,"Бақайдгирии давлатии барҳамдиҳии иттиҳодияҳои ҷамъиятӣ, филиал ва намояндагиҳо (Иқтибос аз Феҳристи ягонаи давлатӣ)",Шахсони воқеӣ ва ҳуқуқӣ,"Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, вилоятҳои Хатлон ва Суғд","Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, вилоятҳои Хатлон ва Суғд","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ АДЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Бақайдгирӣ (азнавбақайдгирӣ),55,000055,Бақайдгирии давлатии ҳизбҳои сиёсӣ (Шаҳодатнома дар бораи бақайдгирии давлатии ҳизбҳои сиёсӣ),Шахсони воқеӣ ва ҳуқуқӣ,Вазорати адлияи Ҷумҳурии Тоҷикистон,Вазорати адлияи Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ АДЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Бақайдгирӣ (азнавбақайдгирӣ),56,000056,Бақайдгирии давлатии барҳамдиҳии ҳизбҳои сиёсӣ (Иқтибос аз Феҳристи давлатӣ),Шахсони воқеӣ ва ҳуқуқӣ,Вазорати адлияи Ҷумҳурии Тоҷикистон,Вазорати адлияи Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ АДЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Бақайдгирӣ (азнавбақайдгирӣ),57,000057,Азназбақайдгирии давлатии ҳизбҳои сиёсӣ (Шаҳодатнома дар бораи азнавбақайдгирии давлатии ҳизбҳои сиёсӣ),Шахсони воқеӣ ва ҳуқуқӣ,Вазорати адлияи Ҷумҳурии Тоҷикистон,Вазорати адлияи Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ АДЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Бақайдгирӣ (азнавбақайдгирӣ),58,000058,Бақайдгирии давлатии мақомоти минтақавии Иттифоқи адвокатҳои (Шаҳодатнома дар бораи бақайдгирии давлатии мақоми минтақавии Иттифоқи адвокатҳо),Шахсони воқеӣ ва ҳуқуқӣ,"Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, вилоятҳои Хатлон ва Суғд","Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, вилоятҳои Хатлон ва Суғд","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ АДЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Бақайдгирӣ (азнавбақайдгирӣ),59,000059,Азнавбақадгирии давлатии мақомоти минтақавии Иттифоқи адвокатӣ (Шаҳодатнома дар бораи азнавбақайдгирии давлатии мақоми минтақавии Иттифоқи адвокатҳо),Шахсони воқеӣ ва ҳуқуқӣ,"Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, вилоятҳои Хатлон ва Суғд","Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, вилоятҳои Хатлон ва Суғд","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ АДЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Бақайдгирӣ (азнавбақайдгирӣ),60,000060,Бақайдгирии давлатии иттифоқи адвокатҳо (Шаҳодатнома дар бораи бақайдгирии давлатии Иттифоқи адвокатҳо),Шахсони воқеӣ ва ҳуқуқӣ,"Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, вилоятҳои Хатлон ва Суғд","Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, вилоятҳои Хатлон ва Суғд","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ АДЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Бақайдгирӣ (азнавбақайдгирӣ),61,000061,Бақайдгирии давлатии бюрои адвокатӣ (Шаҳодатнома дар бораи бақайдгирии бюрои адвокатӣ),Шахсони воқеӣ ва ҳуқуқӣ,"Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, вилоятҳои Хатлон ва Суғд","Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, вилоятҳои Хатлон ва Суғд","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ АДЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Бақайдгирӣ (азнавбақайдгирӣ),62,000062,Азнавбақайдгирии давлатии бюрои адвокатӣ (Шаҳодатнома дар бораи азнавбақайдгирии бюрои адвокатӣ),Шахсони воқеӣ ва ҳуқуқӣ,"Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, Хатлон ва Суғд","Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, Хатлон ва Суғд","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ АДЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Бақайдгирӣ (азнавбақайдгирӣ),63,000063,Бақайдгирии давлатии коллегияи адвокатҳо (Шаҳодатнома дар бораи бақайдгирии коллегияи адвокатҳо),Шахсони воқеӣ ва ҳуқуқӣ,"Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, Хатлон ва Суғд","Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, Хатлон ва Суғд","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ АДЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Бақайдгирӣ (азнавбақайдгирӣ),64,000064,Азнавбақайдгирии давлатии коллегияи адвокатҳо (Шаҳодатнома дар бораи азнавбақайдгирии коллегияи адвокатҳо),Шахсони воқеӣ ва ҳуқуқӣ,"Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, Хатлон ва Суғд","Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, Хатлон ва Суғд","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ АДЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Бақайдгирӣ (азнавбақайдгирӣ),65,000065,Бақайдгирии давлатии маслиҳатхонаи ҳуқуқӣ (Шаҳодатнома дар бораи бақайдгирии маслиҳатхонаи ҳуқуқӣ),Шахсони воқеӣ ва ҳуқуқӣ,"Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, Хатлон ва Суғд","Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, Хатлон ва Суғд","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ АДЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Бақайдгирӣ (азнавбақайдгирӣ),66,000066,Азнавбақайдгирии давлатии маслиҳатхонаи ҳуқуқӣ (Шаҳодатнома дар бораи азнавбақайдгирии маслиҳатхонаи ҳуқуқӣ),Шахсони воқеӣ ва ҳуқуқӣ,"Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, Хатлон ва Суғд","Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, Хатлон ва Суғд","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ АДЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Бақайдгирӣ (азнавбақайдгирӣ),67,000067,Бақайдгирии давлатии кабинети адвокатӣ (Шаҳодатнома дар бораи бақайдгирии кабинети адвокатӣ),Шахсони воқеӣ ва ҳуқуқӣ,"Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, Хатлон ва Суғд","Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, Хатлон ва Суғд","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ АДЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Бақайдгирӣ (азнавбақайдгирӣ),68,000068,Азнавбақайдгирии давлатии кабинети адвокатӣ (Шаҳодатнома дар бораи азнавбақайдгирии кабинети адвокатӣ),Шахсони воқеӣ ва ҳуқуқӣ,"Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, Хатлон ва Суғд","Вазорати адлияи Ҷумҳурии Тоҷикистон, раёсатҳои адлияи Вилояти Мухтори Кӯҳистони Бадахшон, Хатлон ва Суғд","Коғазӣ, электронӣ",Музднок
