Мақоми давлатӣ,Категория,№,Рамзи хизматрасонӣ,Номгӯйи хизматрасонӣ,Гирандаи хизматрасонӣ,Хизматрасонанда,Ташкилоти қабул ва додани натиҷа,Шакли хизматрасонӣ,Музднок ё ройгон
ВАЗОРАТИ КОРҲОИ ДОХИЛИИ ҶУМҲУРИИ ТОҶИКИСТОН,Аломати қайди давлатӣ,125,000125,Аломати қайди давлатии воситаи нақлиёти шахси ҳуқуқӣ,Шахсони ҳуқуқӣ,"Раёсати бозрасии давлатии автомобилӣ, Бозрасии давлатии автомобилии вилоятҳо ва шаҳру ноҳияҳои Ҷумҳурии Тоҷикистон","Раёсати бозрасии давлатии автомобилӣ, Бозрасии давлатии автомобилии вилоятҳо ва шаҳру ноҳияҳои Ҷумҳурии Тоҷикистон","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ КОРҲОИ ДОХИЛИИ ҶУМҲУРИИ ТОҶИКИСТОН,Маълумотнома,175,000175,Маълумотнома оиди маҳдудият гузоштан ва баровардани воситаҳои нақлиёт,Шахсони ҳуқуқӣ,"Раёсати бозрасии давлатии автомобилӣ, Бозрасии давлатии автомобилии вилоятҳо ва шаҳру ноҳияҳои Ҷумҳурии Тоҷикистон","Раёсати бозрасии давлатии автомобилӣ, Бозрасии давлатии автомобилии вилоятҳо ва шаҳру ноҳияҳои Ҷумҳурии Тоҷикистон","Коғазӣ, электронӣ",Музднок
"ВАЗОРАТИ МЕҲНАТ, МУҲОҶИРАТ ВА ШУҒЛИ АҲОЛИИ ҶУМҲУРИИ ТОҶИКИСТОН",Иҷозатнома,276,000276,Иҷозатнома барои фаъолияти бо кор таъмин кардани шаҳрвандони Ҷумҳурии Тоҷикистон берун аз Ҷумҳурии Тоҷикистон,Шахсони ҳуқуқӣ,Хадамоти муҳоҷират,Хадамоти муҳоҷират,"Коғазӣ, электронӣ",Музднок
"ВАЗОРАТИ МЕҲНАТ, МУҲОҶИРАТ ВА ШУҒЛИ АҲОЛИИ ҶУМҲУРИИ ТОҶИКИСТОН",Иҷозатнома,277,000277,Иҷозатнома барои фаъолият бо кор таъмин кардани шаҳрвандони хориҷӣ дар ҳудуди Ҷумҳурии Тоҷикистон,Шахсони ҳуқуқӣ,Хадамоти муҳоҷират,Хадамоти муҳоҷират,"Коғазӣ, электронӣ",Музднок
"ВАЗОРАТИ МЕҲНАТ, МУҲОҶИРАТ ВА ШУҒЛИ АҲОЛИИ ҶУМҲУРИИ ТОҶИКИСТОН",Хулоса,279,000279,Хулоса оид ба риоя намудани талаботи ҳифзи меҳнат ҳангоми сохтмон ва таҷдиди иншооти истеҳсолӣ,Шахсони ҳуқуқӣ,"Хадамоти назорати давлатӣ дар соҳаи меҳнат, муҳоҷират ва шуғли аҳолӣ","Хадамоти назорати давлатӣ дар соҳаи меҳнат, муҳоҷират ва шуғли аҳолӣ","Коғазӣ, электронӣ",Музднок
"ВАЗОРАТИ МЕҲНАТ, МУҲОҶИРАТ ВА ШУҒЛИ АҲОЛИИ ҶУМҲУРИИ ТОҶИКИСТОН",Хулоса,280,000280,Хулоса оид ба риоя намудани талаботи ҳифзи меҳнат ҳангоми истифодаи мошинҳо ва механизмҳо,Шахсони ҳуқуқӣ,"Хадамоти назорати давлатӣ дар соҳаи меҳнат, муҳоҷират ва шуғли аҳолӣ","Хадамоти назорати давлатӣ дар соҳаи меҳнат, муҳоҷират ва шуғли аҳолӣ","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ МОЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,323,000323,Шаҳодатнома барои фаъолият оид ба сохтани маснуоти заргарӣ аз металлҳои қиматбаҳо,Шахсони ҳуқуқӣ,Нозироти давлатии иёргирӣ,Нозироти давлатии иёргирӣ,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ МОЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,327,000327,Шаҳодатнома дар бораи бақайдгирии давлатии коғазҳои қиматнок,Шахсони ҳуқуқӣ,Агентии қоғазҳои қиматнок ва бақайдгирии махсус,Агентии қоғазҳои қиматнок ва бақайдгирии махсус,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ МОЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,328,000328,Шаҳодатнома дар бораи бақайдгирии давлатии барориши коғазҳои қиматноки эмиссионӣ ва додани рақами мушаххаси бақайдгирӣ,Шахсони ҳуқуқӣ,Агентии қоғазҳои қиматнок ва бақайдгирии махсус,Агентии қоғазҳои қиматнок ва бақайдгирии махсус,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ САНОАТ ВА ТЕХНОЛОГИЯҲОИ НАВИ ҶУМҲУРИИ ТОҶИКИСТОН,,407,000407,"Иҷозатнома барои фаъолият оид ба тайёр кардан, коркард ва фурўши пораву партови металлҳои сиёҳ ва ранга",Шахсони ҳуқуқӣ,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ САНОАТ ВА ТЕХНОЛОГИЯҲОИ НАВИ ҶУМҲУРИИ ТОҶИКИСТОН,,408,000408,Иҷозатнома барои фаъолият вобаста ба коркарди пораву партови металлҳои қиматбаҳо бо мақсади ба даст овардани натиҷаи ниҳоии маҳсулот ва холис кардани металлҳои қиматбаҳо,Шахсони ҳуқуқӣ,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ САНОАТ ВА ТЕХНОЛОГИЯҲОИ НАВИ ҶУМҲУРИИ ТОҶИКИСТОН,,409,000409,Иҷозатнома барои фаъолият вобаста ба рекуператсияи сангҳои қиматбаҳо,Шахсони ҳуқуқӣ,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ САНОАТ ВА ТЕХНОЛОГИЯҲОИ НАВИ ҶУМҲУРИИ ТОҶИКИСТОН,,410,000410,Иҷозатнома барои фаъолият оид ба истеҳсоли маҳсулоти тамоку,Шахсони ҳуқуқӣ,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ САНОАТ ВА ТЕХНОЛОГИЯҲОИ НАВИ ҶУМҲУРИИ ТОҶИКИСТОН,,411,000411,Иҷозатнома оид ба фаъолият оид ба фурӯши яклухти маҳсулоти тамоку,Шахсони ҳуқуқӣ,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ САНОАТ ВА ТЕХНОЛОГИЯҲОИ НАВИ ҶУМҲУРИИ ТОҶИКИСТОН,,413,000413,"Иҷозатнома барои фаъолият оид ба истеҳсол, нигоҳдорӣ ва фурӯши яклухти спирти этилӣ ва машрубот",Шахсони ҳуқуқӣ,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ САНОАТ ВА ТЕХНОЛОГИЯҲОИ НАВИ ҶУМҲУРИИ ТОҶИКИСТОН,,417,000417,Иҷозатнома барои фаъолият оид ба истихроҷи рег,Шахсони ҳуқуқӣ,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ САНОАТ ВА ТЕХНОЛОГИЯҲОИ НАВИ ҶУМҲУРИИ ТОҶИКИСТОН,,418,000418,Иҷозатнома барои фаъолият оид ба истихроҷи омехтаи регу шағал,Шахсони ҳуқуқӣ,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ САНОАТ ВА ТЕХНОЛОГИЯҲОИ НАВИ ҶУМҲУРИИ ТОҶИКИСТОН,,419,000419,Иҷозатнома барои фаъолият оид ба истихроҷи гил,Шахсони ҳуқуқӣ,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ САНОАТ ВА ТЕХНОЛОГИЯҲОИ НАВИ ҶУМҲУРИИ ТОҶИКИСТОН,,420,000420,Иҷзатнома барои фаъолият оид ба истихроҷи гилхок,Шахсони ҳуқуқӣ,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ САНОАТ ВА ТЕХНОЛОГИЯҲОИ НАВИ ҶУМҲУРИИ ТОҶИКИСТОН,,421,000421,Иҷозатнома барои фаъолият оид ба истихроҷи санги бинокорӣ,Шахсони ҳуқуқӣ,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ САНОАТ ВА ТЕХНОЛОГИЯҲОИ НАВИ ҶУМҲУРИИ ТОҶИКИСТОН,,422,000422,Иҷозатнома барои фаъолият оид ба истихроҷи регсанг,Шахсони ҳуқуқӣ,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ САНОАТ ВА ТЕХНОЛОГИЯҲОИ НАВИ ҶУМҲУРИИ ТОҶИКИСТОН,,423,000423,Иҷозатнома барои фаъолият оид ба истихроҷи бўр,Шахсони ҳуқуқӣ,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ САНОАТ ВА ТЕХНОЛОГИЯҲОИ НАВИ ҶУМҲУРИИ ТОҶИКИСТОН,,424,000424,Иҷозатнома барои фаъолият оид ба истихроҷи квартсит,Шахсони ҳуқуқӣ,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ САНОАТ ВА ТЕХНОЛОГИЯҲОИ НАВИ ҶУМҲУРИИ ТОҶИКИСТОН,,425,000425,Иҷозатнома барои фаъолият оид ба истихроҷи доломит,Шахсони ҳуқуқӣ,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ САНОАТ ВА ТЕХНОЛОГИЯҲОИ НАВИ ҶУМҲУРИИ ТОҶИКИСТОН,,426,000426,Иҷозатнома барои фаъолият оид ба истихроҷи мергел,Шахсони ҳуқуқӣ,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ САНОАТ ВА ТЕХНОЛОГИЯҲОИ НАВИ ҶУМҲУРИИ ТОҶИКИСТОН,,427,000427,Иҷозатнома барои фаъолият оид ба истихроҷи оҳаксанг,Шахсони ҳуқуқӣ,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ САНОАТ ВА ТЕХНОЛОГИЯҲОИ НАВИ ҶУМҲУРИИ ТОҶИКИСТОН,,428,000428,Иҷозатнома барои фаъолият оид ба истихроҷи оҳаксанги ковок,Шахсони ҳуқуқӣ,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ САНОАТ ВА ТЕХНОЛОГИЯҲОИ НАВИ ҶУМҲУРИИ ТОҶИКИСТОН,,429,000429,Иҷозатнома барои фаъолият оид ба истихроҷи варақсанг,Шахсони ҳуқуқӣ,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ САНОАТ ВА ТЕХНОЛОГИЯҲОИ НАВИ ҶУМҲУРИИ ТОҶИКИСТОН,,430,000430,Иҷозатнома барои фаъолият оид ба истихроҷи аргиллитҳо ва алевролитҳо,Шахсони ҳуқуқӣ,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ САНОАТ ВА ТЕХНОЛОГИЯҲОИ НАВИ ҶУМҲУРИИ ТОҶИКИСТОН,,431,000431,"Иҷозатнома барои фаъолият оид ба истихроҷи сангҳои магматикӣ, вулқонӣ ва метаморфӣ",Шахсони ҳуқуқӣ,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияҳои нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ ФАРҲАНГИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,475,000475,Шаҳодатнома дар бораи баҳисобгирии ташкилоти фаъолияти ноширӣ,Шахсони ҳуқуқӣ,Вазорати фарҳанги Ҷумҳурии Тоҷикистон,Вазорати фарҳанги Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ ФАРҲАНГИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,476,000476,Шаҳодатнома дар бораи баҳисобгирии ташкилоти полиграфӣ,Шахсони ҳуқуқӣ,Вазорати фарҳанги Ҷумҳурии Тоҷикистон,Вазорати фарҳанги Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ ФАРҲАНГИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,477,000477,Шаҳодатнома дар бораи баҳисобгирии фурўшандагон ва паҳнкунандагони маҳсулоти чопӣ,Шахсони ҳуқуқӣ,Вазорати фарҳанги Ҷумҳурии Тоҷикистон,Вазорати фарҳанги Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ ФАРҲАНГИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,478,000478,Шаҳодатнома дар бораи баҳисобгирии нашрияи даврии чопӣ,Шахсони ҳуқуқӣ,Вазорати фарҳанги Ҷумҳурии Тоҷикистон,Вазорати фарҳанги Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ ЭНЕРГЕТИКА ВА ЗАХИРАҲОИ ОБИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,479,000479,Иҷозатнома барои фаъолият оид ба коркарди нафту газ ва истифодабарии иншоотҳои нафтӣ ва газӣ,Шахсони ҳуқуқӣ,Вазорати энергетика ва захираҳои оби Ҷумҳурии Тоҷикистон,Вазорати энергетика ва захираҳои оби Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ ЭНЕРГЕТИКА ВА ЗАХИРАҲОИ ОБИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,480,000480,Иҷозатнома барои фаъолият оид ба нигоҳдорӣ ва фурўши нафту газ ва маҳсулоти коркарди онҳо,Шахсони ҳуқуқӣ,Вазорати энергетика ва захираҳои оби Ҷумҳурии Тоҷикистон,Вазорати энергетика ва захираҳои оби Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ ЭНЕРГЕТИКА ВА ЗАХИРАҲОИ ОБИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,481,000481,"Иҷозатнома барои фаъолият оид ба васл, танзиму таъмири иншоотҳо ва таҷҳизоти энергетикӣ",Шахсони ҳуқуқӣ,Вазорати энергетика ва захираҳои оби Ҷумҳурии Тоҷикистон,Вазорати энергетика ва захираҳои оби Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ ЭНЕРГЕТИКА ВА ЗАХИРАҲОИ ОБИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,482,000482,"Иҷозатнома барои фаъолият оид ба истеҳсол, интиқол ва тақсим кардани энергияи барқ",Шахсони ҳуқуқӣ,Вазорати энергетика ва захираҳои оби Ҷумҳурии Тоҷикистон,Вазорати энергетика ва захираҳои оби Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ ЭНЕРГЕТИКА ВА ЗАХИРАҲОИ ОБИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,483,000483,Иҷозатнома барои фаъолият оид ба истихроҷи нафт ва газ аз чоҳҳои аз эътибор соқитшуда,Шахсони ҳуқуқӣ,Вазорати энергетика ва захираҳои оби Ҷумҳурии Тоҷикистон,Вазорати энергетика ва захираҳои оби Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
КУМИТАИ ДАВЛАТИИ ИДОРАИ ЗАМИН ВА ГЕОДЕЗИИ ҶУМҲУРИИ ТОҶИКИСТОН,Маълумотнома (иттилоот),496,000496,Иттилооти махсус,Шахсони ҳуқуқӣ,Корхонаҳои давлатии фаръии «Бақайдгирии молу мулки ғайриманқул» дар шаҳру ноҳияҳо,Корхонаҳои давлатии фаръии «Бақайдгирии молу мулки ғайриманқул» дар шаҳру ноҳияҳо,"Коғазӣ, электронӣ",Музднок
КУМИТАИ АНДОЗИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Баҳисобгирӣ,528,000528,"Баҳисобгирии ҳизбҳои сиёсӣ, иттиҳодияҳои ҷамъиятӣ ва динӣ ҳамчун шахсони ҳуқуқӣ (шаҳодатнома дар бораи баҳисобгирии рақами мушаххаси андозсупоранда)",Шахсони ҳуқуқӣ,Бахшҳои бақайдгирии давлатии шахсони ҳуқуқӣ ва соҳибкорони инфиродӣ дар шаҳру ноҳияҳо,Бахшҳои бақайдгирии давлатии шахсони ҳуқуқӣ ва соҳибкорони инфиродӣ дар шаҳру ноҳияҳо,"Коғазӣ, электронӣ",Ройгон
КУМИТАИ АНДОЗИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Баҳисобгирӣ,529,000529,"Аз баҳисобгирӣ баровардани ҳизбҳои сиёсӣ, иттиҳодияҳои ҷамъиятӣ ва динӣ ҳамчун шахсони ҳуқуқӣ (иқтибос оиди аз баҳисобгирӣ баровардани ҳизбҳои сиёсӣ, иттиҳодияҳои ҷамъиятӣ ва динӣ ҳамчун шахсони ҳуқуқӣ)",Шахсони ҳуқуқӣ,Бахшҳои бақайдгирии давлатии шахсони ҳуқуқӣ ва соҳибкорони инфиродӣ дар шаҳру ноҳияҳо,Бахшҳои бақайдгирии давлатии шахсони ҳуқуқӣ ва соҳибкорони инфиродӣ дар шаҳру ноҳияҳо,"Коғазӣ, электронӣ",Ройгон
КУМИТАИ АНДОЗИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Баҳисобгирӣ,530,000530,"Баҳисобгирии намояндагиҳои дипломатӣ ва намояндагии ба онҳо баробаркардашудаи давлати хориҷӣ, ташкилоти байналмилалии дар Ҷумҳурии Тоҷикистон (шаҳодатнома дар бораи баҳисобгирии рақами мушаххаси андозсупоранда)",Шахсони ҳуқуқӣ,Бахшҳои бақайдгирии давлатии шахсони ҳуқуқӣ ва соҳибкорони инфиродӣ дар шаҳру ноҳияҳо,Бахшҳои бақайдгирии давлатии шахсони ҳуқуқӣ ва соҳибкорони инфиродӣ дар шаҳру ноҳияҳо,"Коғазӣ, электронӣ",Ройгон
КУМИТАИ АНДОЗИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Баҳисобгирӣ,531,000531,Баҳисобгирии муассисаи доимии шахсони ҳуқуқӣ- ғайрирезидентҳо (шаҳодатнома дар бораи баҳисобгирии рақами мушаххаси андозсупоранда),Шахсони ҳуқуқӣ,Бахшҳои бақайдгирии давлатии шахсони ҳуқуқӣ ва соҳибкорони инфиродӣ дар шаҳру ноҳияҳо,Бахшҳои бақайдгирии давлатии шахсони ҳуқуқӣ ва соҳибкорони инфиродӣ дар шаҳру ноҳияҳо,"Коғазӣ, электронӣ",Ройгон
КУМИТАИ АНДОЗИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Тамғаи аксизӣ,545,000545,Тамғаи аксизӣ ба маҳсулот,Шахсони ҳуқуқӣ,Кумитаи андози назди Ҳукумати Ҷумҳурии Тоҷикистон,Кумитаи андози назди Ҳукумати Ҷумҳурии Тоҷикистон,Коғазӣ,Ройгон
КУМИТАИ АНДОЗИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Тасдиқнома,546,000546,Тасдиқнома барои содироти алюминийи аввалия,Шахсони ҳуқуқӣ,Кумитаи андози назди Ҳукумати Ҷумҳурии Тоҷикистон,Кумитаи андози назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Ройгон
КУМИТАИ КОР БО ҶАВОНОН ВА ВАРЗИШИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,675,000675,Шаҳодатномаи аккредитатсияи давлатии федератсияҳои варзишӣ,Шахсони ҳуқуқӣ,Кумитаи кор бо ҷавонон ва варзиши назди Ҳуқумати Ҷумҳурии Тоҷикистон,Кумитаи кор бо ҷавонон ва варзиши назди Ҳуқумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Ройгон
КУМИТАИ ТЕЛЕВИЗИОН ВА РАДИОИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,,676,000676,Иҷозатнома барои фаъолият дар соҳаи телевизион,Шахсони ҳуқуқӣ,Бозрасии давлатии назорат дар соҳаи телевизион ва радиошунавонӣ,Бозрасии давлатии назорат дар соҳаи телевизион ва радиошунавонӣ,"Коғазӣ, электронӣ",Музднок
